,ss_id,pv_datetime,generation
285,6618,2019-03-24 13:00:00,1867.92
286,6618,2020-06-08 08:00:00,956.706
287,6618,2018-11-17 06:00:00,0.0
288,6618,2021-01-19 05:00:00,0.0
289,6618,2018-06-29 15:00:00,2810.556
290,6618,2018-11-06 21:00:00,0.0
291,6618,2019-04-15 02:00:00,0.0
292,6618,2019-09-30 16:00:00,50.57628
293,6618,2019-08-08 12:00:00,952.0368
294,6618,2021-06-23 21:00:00,0.0
295,6618,2018-05-23 16:00:00,2162.256
296,6618,2019-11-17 20:00:00,0.0
297,6618,2020-12-03 19:00:00,0.0
298,6618,2019-05-25 10:00:00,1879.416
299,6618,2018-12-03 12:00:00,73.6518
300,6618,2019-10-14 07:00:00,0.0202482
301,6618,2021-06-20 22:00:00,0.0
302,6618,2020-12-11 20:00:00,0.0
303,6618,2019-12-21 03:00:00,0.0
304,6618,2018-07-03 21:00:00,0.0
305,6618,2019-11-27 21:00:00,0.0
306,6618,2019-02-28 20:00:00,0.0
307,6618,2020-10-14 15:00:00,347.2032
308,6618,2020-10-05 02:00:00,0.0
309,6618,2018-02-06 12:00:00,570.4752
310,6618,2018-03-10 19:00:00,0.0
311,6618,2020-01-05 13:00:00,108.25272
312,6618,2018-07-19 04:00:00,0.0
313,6618,2020-12-13 07:00:00,0.0
314,6618,2020-12-27 14:00:00,267.5268
315,6618,2020-08-03 20:00:00,1.0672236e-08
316,6618,2019-04-19 04:00:00,0.0
317,6618,2018-09-02 05:00:00,0.0
318,6618,2018-12-29 06:00:00,0.0
319,6618,2020-04-22 14:00:00,0.0
320,6618,2018-10-16 12:00:00,525.3672
321,6618,2020-07-10 06:00:00,183.1728
322,6618,2020-01-26 07:00:00,0.0
323,6618,2019-12-14 17:00:00,0.0
324,6618,2020-08-09 13:00:00,2627.292
325,6618,2018-11-07 13:00:00,303.2868
326,6618,2020-07-08 10:00:00,478.5912
327,6618,2021-05-30 00:00:00,0.0
328,6618,2020-04-05 10:00:00,1928.364
329,6618,2019-08-09 20:00:00,0.0
330,6618,2020-02-29 19:00:00,0.0
331,6618,2019-08-23 08:00:00,184.6716
332,6618,2018-05-13 21:00:00,0.0
333,6618,2021-01-10 14:00:00,636.2988
334,6618,2019-07-02 10:00:00,2451.84
335,6618,2021-03-09 15:00:00,2014.74
336,6618,2020-09-12 09:00:00,365.2356
337,6618,2021-05-10 21:00:00,0.0
338,6618,2020-12-27 12:00:00,462.852
339,6618,2019-08-19 08:00:00,386.5824
340,6618,2020-11-06 15:00:00,1168.6608
341,6618,2020-03-14 22:00:00,0.0
342,6618,2021-04-30 19:00:00,11.409828
343,6618,2020-07-18 06:00:00,162.18
344,6618,2018-07-26 06:00:00,130.176
345,6618,2021-03-30 16:00:00,1672.284
346,6618,2021-07-14 21:00:00,0.0
347,6618,2018-03-07 10:00:00,1129.26
348,6618,2021-04-30 04:00:00,0.0
349,6618,2019-11-21 04:00:00,0.0
350,6618,2019-02-24 22:00:00,0.0
351,6618,2019-11-20 09:00:00,221.2476
352,6618,2018-11-18 23:00:00,0.0
353,6618,2021-07-29 09:00:00,1716.084
354,6618,2018-12-21 03:00:00,0.0
355,6618,2021-01-02 03:00:00,0.0
356,6618,2021-06-06 06:00:00,78.78996
357,6618,2020-08-30 14:00:00,744.8448
358,6618,2020-04-06 16:00:00,1518.696
359,6618,2018-12-02 23:00:00,0.0
360,6618,2019-06-14 12:00:00,892.71
361,6618,2020-05-19 00:00:00,0.0
362,6618,2019-10-08 23:00:00,0.0
363,6618,2019-02-06 08:00:00,0.0
364,6618,2021-10-01 16:00:00,1443.54
365,6618,2021-09-17 08:00:00,340.7724
366,6618,2020-11-03 12:00:00,1443.156
367,6618,2021-06-06 19:00:00,299.0244
368,6618,2018-02-06 15:00:00,1695.588
369,6618,2020-08-07 09:00:00,1254.516
370,6618,2019-02-03 19:00:00,0.0
371,6618,2018-03-21 06:00:00,0.0
372,6618,2021-07-29 21:00:00,0.0
373,6618,2021-01-01 14:00:00,159.036
374,6618,2020-09-20 09:00:00,451.956
375,6618,2018-02-06 10:00:00,194.862
376,6618,2018-11-05 01:00:00,0.0
377,6618,2018-10-15 23:00:00,0.0
378,6618,2019-05-24 15:00:00,642.6276
379,6618,2019-09-23 14:00:00,212.2932
380,6618,2021-05-29 17:00:00,1414.836
381,6618,2018-10-09 05:00:00,0.0
382,6618,2020-03-09 06:00:00,0.0
383,6618,2021-05-18 10:00:00,1122.5232
384,6618,2018-08-10 03:00:00,0.0
385,6618,2021-10-15 21:00:00,0.0
386,6618,2019-06-28 16:00:00,2217.312
387,6618,2019-11-01 22:00:00,0.0
388,6618,2019-06-16 11:00:00,1508.16
389,6618,2018-04-02 05:00:00,0.0
390,6618,2018-04-06 12:00:00,2231.28
391,6618,2020-10-27 16:00:00,45.90864
392,6618,2020-01-19 20:00:00,0.0
393,6618,2021-01-02 08:00:00,0.0
394,6618,2019-06-19 07:00:00,0.0
395,6618,2021-10-22 02:00:00,0.0
396,6618,2020-07-15 01:00:00,0.0
397,6618,2018-07-14 18:00:00,1034.574
398,6618,2019-05-03 13:00:00,2431.608
399,6618,2019-02-15 09:00:00,193.1856
400,6618,2019-08-07 15:00:00,2966.4
401,6618,2019-06-27 17:00:00,1586.784
402,6618,2020-01-12 03:00:00,0.0
403,6618,2020-12-13 09:00:00,10.55124
404,6618,2019-08-23 07:00:00,225.678
405,6618,2019-07-19 01:00:00,0.0
406,6618,2019-09-05 12:00:00,2765.232
407,6618,2021-09-13 09:00:00,762.4044
408,6618,2018-07-05 17:00:00,1585.056
409,6618,2019-04-09 04:00:00,0.0
410,6618,2021-10-22 11:00:00,1237.74
411,6618,2019-09-17 19:00:00,0.0
412,6618,2018-05-06 19:00:00,122.7744
413,6618,2019-07-15 10:00:00,837.7848
414,6618,2021-10-17 13:00:00,706.4556
415,6618,2020-04-15 02:00:00,0.0
416,6618,2019-06-26 10:00:00,2078.832
417,6618,2018-03-17 12:00:00,409.896
418,6618,2019-01-10 16:00:00,0.0
419,6618,2019-02-11 01:00:00,0.0
420,6618,2020-02-27 18:00:00,5.648556e-07
421,6618,2020-02-22 16:00:00,189.324
422,6618,2018-09-28 04:00:00,0.0
423,6618,2020-01-30 14:00:00,168.8496
424,6618,2019-11-10 14:00:00,1337.82
425,6618,2021-05-03 12:00:00,2065.644
426,6618,2021-06-01 05:00:00,50.55948
427,6618,2020-05-25 14:00:00,3043.548
428,6618,2020-06-28 18:00:00,401.2188
429,6618,2020-03-11 08:00:00,152.5596
430,6618,2021-05-15 00:00:00,0.0
431,6618,2021-05-30 08:00:00,939.3972
432,6618,2021-08-15 22:00:00,0.0
433,6618,2019-12-28 03:00:00,0.0
434,6618,2021-06-14 03:00:00,0.0
435,6618,2021-04-27 23:00:00,0.0
436,6618,2021-04-17 22:00:00,0.0
437,6618,2021-03-08 16:00:00,1119.234
438,6618,2019-02-26 22:00:00,0.0
439,6618,2020-06-18 06:00:00,31.75992
440,6618,2018-12-18 05:00:00,0.0
441,6618,2020-09-07 14:00:00,1013.7696
442,6618,2019-10-22 11:00:00,1557.708
443,6618,2019-09-20 16:00:00,1666.848
444,6618,2020-04-04 18:00:00,0.0
445,6618,2020-07-16 11:00:00,1299.828
446,6618,2020-07-12 00:00:00,0.0
447,6618,2019-12-07 14:00:00,574.1832
448,6618,2020-05-14 23:00:00,0.0
449,6618,2021-03-25 08:00:00,543.2616
450,6618,2020-04-15 01:00:00,0.0
451,6618,2018-11-11 21:00:00,0.0
452,6618,2019-08-06 18:00:00,299.646
453,6618,2019-08-06 20:00:00,0.0
454,6618,2021-08-19 04:00:00,0.0
455,6618,2021-05-29 08:00:00,910.896
456,6618,2020-09-15 12:00:00,2226.684
457,6618,2021-03-14 17:00:00,79.52928
458,6618,2020-09-05 19:00:00,0.0
459,6618,2020-07-06 20:00:00,3.712596
460,6618,2018-03-18 09:00:00,0.0
461,6618,2019-10-08 01:00:00,0.0
462,6618,2019-08-19 18:00:00,596.3592
463,6618,2018-01-16 07:00:00,0.0
464,6618,2018-03-15 09:00:00,467.442
465,6618,2018-10-03 00:00:00,0.0
466,6618,2018-11-26 19:00:00,0.0
467,6618,2019-10-31 23:00:00,0.0
468,6618,2019-12-14 03:00:00,0.0
469,6618,2018-01-21 07:00:00,0.0
470,6618,2018-10-05 19:00:00,0.0
471,6618,2020-02-07 14:00:00,866.2044
472,6618,2021-01-27 18:00:00,0.0
473,6618,2019-09-18 15:00:00,2151.66
474,6618,2020-04-29 01:00:00,0.0
475,6618,2019-02-07 14:00:00,1235.532
476,6618,2018-08-15 13:00:00,1561.704
477,6618,2018-03-16 11:00:00,1386.684
478,6618,2019-06-08 02:00:00,0.0
479,6618,2019-09-28 21:00:00,0.0
480,6618,2019-03-31 00:00:00,0.0
481,6618,2020-01-29 00:00:00,0.0
482,6618,2018-03-08 08:00:00,90.44856
484,6618,2020-09-30 19:00:00,0.0
485,6618,2021-04-24 21:00:00,0.0
486,6618,2018-01-30 12:00:00,1413.144
487,6618,2018-10-16 16:00:00,119.11776
488,6618,2018-07-02 20:00:00,54.84612
489,6618,2018-10-10 14:00:00,2001.12
490,6618,2018-10-02 12:00:00,653.3364
491,6618,2020-09-27 16:00:00,1506.612
492,6618,2018-08-20 09:00:00,1037.8464
493,6618,2020-11-24 08:00:00,27.44592
494,6618,2021-02-07 12:00:00,290.3592
495,6618,2018-11-29 06:00:00,0.0
496,6618,2020-04-04 23:00:00,0.0
497,6618,2019-03-07 14:00:00,2483.772
498,6618,2020-10-25 14:00:00,1104.9288
499,6618,2020-03-26 01:00:00,0.0
500,6618,2021-10-25 01:00:00,0.0
501,6618,2018-06-01 23:00:00,0.0
502,6618,2020-02-14 09:00:00,254.376
503,6618,2021-07-29 18:00:00,636.3252
504,6618,2020-06-14 16:00:00,862.5468
505,6618,2021-03-10 08:00:00,49.48428
506,6618,2019-11-18 03:00:00,0.0
507,6618,2018-10-03 08:00:00,95.98884
508,6618,2018-05-14 13:00:00,3222.636
509,6618,2019-08-03 05:00:00,33.59316
510,6618,2019-02-05 22:00:00,0.0
511,6618,2018-08-19 19:00:00,12.16092
512,6618,2018-04-14 13:00:00,2882.7
513,6618,2018-03-08 09:00:00,216.1188
514,6618,2021-05-08 14:00:00,674.7216
515,6618,2018-09-07 13:00:00,1833.528
516,6618,2019-08-23 16:00:00,2093.94
517,6618,2021-04-24 00:00:00,0.0
518,6618,2020-06-29 12:00:00,1256.616
519,6618,2020-09-26 02:00:00,0.0
520,6618,2021-01-04 05:00:00,0.0
521,6618,2019-10-01 11:00:00,1622.556
522,6618,2019-01-28 12:00:00,1461.936
523,6618,2020-01-11 16:00:00,0.0005627832
524,6618,2018-08-18 19:00:00,10.577412
525,6618,2021-02-09 11:00:00,714.7128
526,6618,2021-04-16 21:00:00,0.0
527,6618,2018-02-26 11:00:00,549.6336
528,6618,2018-08-05 05:00:00,0.09547812
529,6618,2019-10-31 12:00:00,457.6044
530,6618,2019-03-21 15:00:00,295.5876
531,6618,2019-11-23 03:00:00,0.0
532,6618,2020-07-29 01:00:00,0.0
533,6618,2021-08-25 13:00:00,3056.64
534,6618,2018-04-27 19:00:00,0.010470108
535,6618,2020-02-12 01:00:00,0.0
536,6618,2021-05-28 13:00:00,3077.928
537,6618,2020-11-18 18:00:00,0.0
538,6618,2019-07-19 16:00:00,121.1136
539,6618,2018-05-18 21:00:00,0.0
540,6618,2018-11-08 08:00:00,61.55796
541,6618,2018-04-22 06:00:00,89.32104
542,6618,2018-01-13 17:00:00,0.0
543,6618,2020-12-30 05:00:00,0.0
544,6618,2018-04-19 10:00:00,1999.8
545,6618,2018-03-22 08:00:00,308.4336
546,6618,2020-01-13 18:00:00,0.0
547,6618,2021-04-28 22:00:00,0.0
548,6618,2019-02-03 05:00:00,0.0
549,6618,2020-08-01 05:00:00,8.130936
550,6618,2021-06-07 21:00:00,0.0
